Interface, API,Specifications,Microsoft Edge 14,Microsoft Edge 15,Microsoft Edge 16,Microsoft Edge 17,Google Chrome,Mozilla Firefox,Apple Safari,Documents
AbortController,@@toStringTag,True,False,False,False,False,True,False,False,"whatwg-dom"
AbortController,abort,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortController,arguments,True,False,False,True,False,True,False,False,"whatwg-dom"
AbortController,caller,True,False,False,True,False,True,False,False,"whatwg-dom"
AbortController,constructor,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortController,length,True,False,False,False,True,True,True,True,"whatwg-dom"
AbortController,name,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortController,prototype,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortController,signal,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortSignal,@@toStringTag,True,False,False,False,False,True,False,False,"whatwg-dom"
AbortSignal,aborted,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortSignal,arguments,True,False,False,True,False,True,False,False,"whatwg-dom"
AbortSignal,caller,True,False,False,True,False,True,False,False,"whatwg-dom"
AbortSignal,constructor,False,False,False,True,True,True,True,True,""
AbortSignal,length,False,False,False,False,True,True,True,True,""
AbortSignal,name,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortSignal,onabort,True,False,False,True,True,True,True,True,"whatwg-dom"
AbortSignal,prototype,False,False,False,True,True,True,True,True,""
AbsoluteOrientationSensor,@@toStringTag,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,arguments,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,caller,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,constructor,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,length,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,name,True,False,False,False,False,True,False,False,"orientation-sensor"
AbsoluteOrientationSensor,prototype,True,False,False,False,False,True,False,False,"orientation-sensor"
AbstractView,@@toStringTag,True,False,False,False,False,False,False,False,"dom-level-2-views"
AbstractView,arguments,True,False,False,False,False,False,False,False,"dom-level-2-views"
AbstractView,caller,True,False,False,False,False,False,False,False,"dom-level-2-views"
AbstractView,document,True,False,False,False,False,False,False,False,"dom-level-2-views"
AbstractView,name,True,False,False,False,False,False,False,False,"dom-level-2-views"
Accelerometer,@@toStringTag,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,arguments,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,caller,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,constructor,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,length,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,name,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,prototype,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,x,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,y,True,False,False,False,False,True,False,False,"accelerometer"
Accelerometer,z,True,False,False,False,False,True,False,False,"accelerometer"
AccessibleNode,@@toStringTag,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,activeDescendant,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,appendChild,False,False,False,False,False,True,False,False,""
AccessibleNode,arguments,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,atomic,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,autocomplete,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,busy,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,caller,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,checked,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,colCount,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,colIndex,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,colSpan,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,constructor,False,False,False,False,False,True,False,False,""
AccessibleNode,controls,True,False,False,False,False,True,False,False,"aom"
AccessibleNode,current,True,False,False,False,False,True,False,False,"aom"
